date,dayton_students,dayton_employees,lake_students,lake_employees
07-09-2020,0,0,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
08-09-2020,8,1,0,0
14-09-2020,13,1,0,0
